

30	The end	Конец связи
33	Love sealed with frendship (used by YL-only)	Выражение любви и дружеских чувств (используется только женщинами)
73	Best regards	Наилучшие пожелания
88	Love and kisses	Любовь и поцелуй
99	I don't want to work with you!	Я не желаю с Вами работать
AA	All after	Всё после...
AB	All before	Всё до...
ABT	About	Около, приблизительно
ABV	I repeat in abbreviated form	Повторяю в виде аббревиатуры
AC	Alternating current	Переменный ток
ADDR	Address	Адрес
ADR	Address	Адрес
ADS	Address	Адрес
ADV	Advice	Совет, консультация
ADX	Address	Адрес
AER	Aerial	Антенна
AFTER	Аfter	После
AF	Audio frequency	Звуковая частота
AF	Africa	Африка
AF	Air Force	Военно-воздушные силы
AGC	Auto Gain Control	Автоматическая регулировка усиления
AGN	Again	Опять, снова
AHD	Ahead	Вперёд, продолжайте
ALSO	Also	Так же
AM	Amplitude modulation	Амплитудная модуляция
AM	Ante meridiem	Пополуночи
AMMTR	Ammeter	Амперметер
AMP	Ampere	Ампер
AMT	Australian meantime	Австралийское время
ANR	Another	Еще один, другой
ANS	Answer	Ответ
ANT	Antenna	Антенна
ARE	Are	Есть (мн.ч.)
ARRL	American Radio Relay League	Американская лига радиолюбителей
AR	End of transmission	Конец передачи
AST	Atlantic standard time	Атлантическое стандартное время
AS	Wait	Ждите
ASAP	As soon as possible	Скоро, как только возможно
AT END	At end	К концу
AT FIRST	At first	Сперва
AT LAST	At last	Наконец
AT TIMES	At times	Временами
AUD	Audibility	Слышимость
AUX	Auxiliary	Запасной, вспомогательный
AVC	Automatic volume control	Автоматическая регулировка усиления
AVD	Average	Средний
B4	Before	Перед
BAD	Bad	Плохо, плохой
BAND	Band	Диапазон
BC	Broadcast, British Colombia	Радиовещание, Британская Колумбия
BCI	Broadcast interferences	Помехи приёму радиовещания
BCNU	Be seeing you	Буду рад встретить снова
BD	Bad	Плохо, плохой
BEAM	Beam	Направленная (антенна)
BEST	Best	Наилучший
BFO	Beat frequency oscillator	Телеграфный гетеродин
BFR	Before	Перед
BK	Break	Работа полудуплексом
BN	All between	Всё между...
BOX	Box	Ящик (почтовый)
BT	Pause	Знак раздела
BTR	Better	Лучше
BUG	Bug	Виброплекс (полуавтоматический ключ)
BUK	Book	Книга, список позывных
BUT	But	Но
BY	By	Посредством, при помощи
CALL	Call	Вызов, позывной
CAN	Can	Могу
CANT	Can not	Не могу
CARD	Card	Карточка-квитанция
CB	Citizens band	Гражданский диапазон 27 МГц
CC	Crystal control	Стабилизация кварцем
C	Chirp signal (used after RST)	"Чирикающий" сигнал (исп. после RST)
CFM	Confirm	Подтверждаю, подтверждение
CHEERIO	Cheerio	Желаю успеха
CITY	City	Город
CK	Check	Проверить
CKT	Circuit	Схема
CL	Closing station	Выключаю станцию
CLD	Called	Вызывал
CLEAR	Clear	Ясно
CLG	Calling	Вызывает, вызываю
CLOUDY	Cloudy	Облачно
CO	Crystal oscillator	Кварцевый генератор
COLD	Cold	Холодно
CONDX	Conditions	Условия (слышимость)
CONGRATS	Congratulations	Поздравления
COPI	Copy	Записывать (принимать)
CP	Counterpose	Противовес
CP	General call to multiple stations	Общий вызов нескольким станциям
CPY	Copy	Записывать (принимать)
CQ	General call to all stations	Всем, всем ! (общий вызов)
CRD	Card	Карточка-квитанция
CS	Callsign	Позывной
CST	Central standard time	Центральное стандартное время
CUAGN	See you again	Встретимся снова
CUL	See you later	Встретимся позже
CU	See you	Встретимся (в эфире)
CW	Continuous wave	Незатухающие колебания (телеграф)
C	Yes	Да
DB	Decibel	Децибел
DC	Direct current	Постоянный ток
DE	From	От, из
DIRECT	Direct	Непосредственно, прямо
DLVD	Delivered	Передано
D	Down	Вниз, ниже
DN	Down	Вниз, ниже
DOPE	Dope	Сообщение (приятное)
DR	Dear	Дорогой
DSB	Double side band	Двухполосная модуляция
DWN	Down	Вниз, ниже
DX	Distance	Дальняя связь, дальнее расстояние, редкий корреспондент
DXPDN	DX-expedition	Радиоэкспедиция в какой-либо район мира или страну
EAST	East	Восток
ECO	Electron coupled oscillator	Генератор с электронной связью
EEK	American Morse "Ok"
EL	Element	Элемент
EL BUG	Electronic bug	Электронный полуавтомат. ключ
EM	Then	Тогда
END	End	Конец
ERE	Here	Здесь
ER	Here	Здесь
ES	And	И
EST	EastStandard Time	Восточное стандартное время
ETA	Estimated time of arrival	Ожидаемое время прибытия
EVY	Every	Каждый
EU	Europe	Европа
EX	Ex	Бывший (о позывном)
FAIR	Fair	Превосходно, прекрасно (о погоде)
FB	Fine business	Превосходно, прекрасно
FD	Frequency doubler	Удвоитель частоты
FD	Field day	Полевой день
FD	Food	Пища
FER	For	За, для, при
FIL	Filament	Нить накала, накал
FLD	Field	Поле
FINE	Fine	Хороший, прекрасный
FIRST	First	Первый
FM	Frequency modulation	Частотная модуляция
FM	From	Из, от
FONE	Telephone	Телефон
FOR	For	За, для, при
FREQ	Frequency	Частота
FQ	Frequency	Частота
FR	For	За, для, при
FRM	From	Из, от
FROM	From	От, из
FROST	Frost	Мороз
FT	Foot	Фут
FWD	Forward	Вперёд
FYI	For your information	Для вашего сведения
GA	Go ahead	Давайте, начинайте
GA	Good afternoon	Добрый день (во вторую половину дня)
GB	Good bye	До свидания
GD	Good day	Добрый день
GE	Good evening	Добрый вечер
GEN	Generator	Генератор
GESS	Guess	Считать, предполагать
GET	Get	Получать
GG	Going	Идти
GG	Grounded grid	Заземлённая сетка
GLD	Glad	Рад, доволен
GL	Glad	Рад, доволен
GL	Good luck	Пожелание удачи, счастья
GM	Good morning	Доброе утро
GMT	Greenwich meantime	Время по Гринвичу
GND	Ground	Заземление
GN	Good night	Доброй ночи
GOT	Got	Получил
GP	Ground plane	Антенна типа GP
GUD	Good	Хороший, хорошо
GUHOR	I don't hear you	Я Вас не слышу
HAM	Short wave radio amateur	Любитель-коротковолновик
HD	Had	Имел
HEAR	Hear	Слышать, слышу
HERTZ	Hertz	Герц
HF	High frequency	Высокая частота
HFO	High frequency oscillator	Генератор высокой частоты
HI	Laughing	Выражение смеха
HKN	Hurricane	Сильный ветер, ураган
HOPE	Hope	Надеюсь
HOT	Hot	Жарко
HOUR	Hour	Час
HPE	Hope	Надеюсь
HRD	Heard	Слышал
HR	Here	Здесь
HT	High tension	Высокое напряжение
HV	Have	Иметь, имею
HVE	Have	Иметь, имею
HVI	Heavy	Тяжелые, сильные
HVY	Heavy	Тяжелые, сильные
HVNT	Have not	Не имею
HW	How do you do?	Как дела? Как Вы меня слышите?
HZ	Hertz	Герц
I	I	Я
IARU	International Amateur Radio Union	Международный радиолюбительский союз
ICAO	International Civil Aeronautics Organization	Международная организация гражданской авиации
ID	Identify	Идентичный, равнозначный
INFO	Information	Информация
IN	In	В
IN	Inch	Дюйм
INPT	Input	Подводимая мощность
INPUT	Input	Подводимая мощность
IRC	International Reply Coupon	Международный почтовый купон
IRPT	I repeat	Повторяю
IS	Is	Есть (ед.ч.)
IST	Indian Standard Time	Индийское стандартное время
ITU	International Telecommunication Union	Международный союз электросвязи
ITV	Interference from TV receivers	Помехи от телевидения
KA	Beginning of transmission	Начало передачи
KC	Kilocycle	Килоцикл
K	Clicks	Щелчки от "жесткой" манипуляции
K	Go ahead (invitation to transmit)	Отвечайте (приглашение к передаче)
KHZ	Kilohertz	Килогерц
KN	I'm listening only to my correspondent	Слушаю только своего корреспондента
KNOW	Know	Знать, знаю
KNW	Know	Знать, знаю
KW	Know	Знать, знаю
KW	Kilowatt	Киловатт
KV	Kilovolt	Киловольт
KY	Key	Телеграфный ключ
LAST	Last	Последний
LAT	Latitude	Широта
LF	Low frequency	Низкая частота
LID	Poor operator	Плохой оператор
LIL	Little	Маленький, немного
LOCAL	Local	Местный
LOG	Log book	Список радиостанций
LONG	Longitude	Долгота
LONG	Long	Длинный, долго
LNG	Long	Длинный, долго
LP	Long path	Дальний путь, трасса (о прохождении)
LSB	Lower side band	Нижняя боковая полоса
LSN	Listen	Слушать, слушаю
LTR	Letter	Письмо
LW	Long wire	Длинный провод (антенна)
LW	Long waves	Длинные волны (диапазон)
LUCK	Luck	Успех, счастье
MA	Milliampere	Миллиампер
MAG	Magnetic	Магнитный, магнит
MAG	Magazine	Журнал
MAX	Maximum	Максимум
MAYDAY	Disaster signal	Сигнал бедствия
MC	Megacycle	Мегацикл
MD	Medical doctor	Врач
MEBBY	May be	Может быть
MEET	Meet	Встретить
MEG	Megaohm	Мегаом
MEZ	Mitteleuropдische Zeit	Среднеевропейское время
MF	Microfarad	Микрофарада
MHZ	Megahertz	Мегагерц
MIKE	Microphone	Микрофон
MILE	Mile	Миля (1,6 км)
MILS	Milliamperes	Миллиамперы
MI	My	Мой
MIN	Minute	Минута
MIN	Minimum	Минимум
MISD	Missed	Пропустил
MK	Mark	Отметка, марка
ML	Mail	Почта
MNI	Many	Много, многие
MN	Minutes	Минуты
MOD	Modulation	Модуляция
MO	Master oscillator	Задающий генератор
MOM	Moment	Момент
MORN	Morning	Утро, доброе утро
MPH	Miles per hour	Миль в час
MS	Meteor scatter	Метеорная связь
MSG	Message	Сообщение
MSK	Moscow Time	Московское время
MST	Middle Standard Time	Среднее стандартное время
MT	Mountain	Гора, горы
MTR	Meter	Метр
N	No	Нет
N	Number	Номер
NBFM	Narrow band frequency	Узкополосная частотная модуляция
NCS	Net control station	Сетевая станция управления
NC	No count, no charge, no check	Не принял, не засчитываю
NEAR	Near	Близ
NET	Net	Сеть
NEW	New	Новый
NG	Negative	Плохо
NICE	Nice	Приятный, хороший
NIL	(I have) nothing (for you)	Ничего (нет для вас)
NO	No	Нет
NORTH	North	Север
NOT	Not	Не
NTG	Nothing	Ничего
NR	Near	Близ
NR	Number	Номер
NVR	Never	Никогда
NW	Now	Теперь, приступаю к передаче
NW	North-West	Северо-запад
O	Oh	О (восклицание
O	Zero	Ноль
OB	Old boy	Старый приятель
OC	Old chap	Старый приятель, старина
OEZ	Osteuropдishe Zeit	Восточноевропейское время
OK	All correct	Принял правильно, понял
OLD	Old	Принял правильно, понял
OM	Old man	Старый приятель
ONLY	Only	Только
ON	On	На
OP	Operator	Оператор
OPR	Operator	Оператор
OPRG	Operating	Работа на станции
OSC	Oscillator	Генератор
OT	Old timer	Радиолюбитель с большим стажем, старый радиолюбитель
OUTPT	Output	Отдаваемая пощность
OUTPUT	Output	Отдаваемая пощность
OVER	End of transmission	Конец передачи
PAN	International urgent signal	Международный сигнал бедствия
PA	Power amplifier	Усилитель мощности
PAC	Pacific	Тихий океан
PARA	Paragraph	Параграф
PART	Part	Часть
PBL	Preamble	Вступление
PBLI	Probably	Вероятно
PF	Picofarad	Пикофарада
PM	Post meridiem	Пополудни
PO	Post office	Почтовое отделение
PO	Power output	Выходная мощность
POSN	Position	Положение, позиция
PPGN	Propagation	Прохождение
PR	Pocket radiotraffic	Пакетная радиосвязь
PSED	Pleased	Доволен, рад
PSE	Please	Пожалуйста
PST	Pacific Standard Time	Тихоокеанское стандартное время
PTBL	Portable	Портативный
PWR	Power	Мощность
QK	Quick	Быстрый
QAP	Должен ли я слушать … на … кГц (МГц)?	Слушайте … на … кГц (МГц)
QBA	(англ. big antenna) Большая ли у вас антенна?	У меня большая-пребольшая антенна!
QBS	(англ. bird shit) У вас антенна залеплена птичьим пометом?	Стряхните дерьмо с антенны и будете меня слышать.
QCX	Какой ваш полный позывной?	Вы работаете неверными позывными, проверьте
QCZ		Вы нарушаете правила радиообмена
QDM	Сообщите мой курс при нулевом ветре	Мой курс при нулевом ветре …
QDR	(англ. do you have receiver?) У вас есть приемник? (в ответ на «QRL?»)	Да, черт возьми (англ. damn right), частота занята!
QDR	Сообщите мой магнитный пеленг	Магнитный пеленг …
QDW	Должен ли я перейти на запасную частоту?	Перейдите на запасную частоту
QEW	(англ. earwax) У вас уши забиты серой?	Плохо слышу вас, уши забиты.
QGE	Какое точное расстояние?	Точное расстояние …
QIF	Должен ли я передавать на … кГц (МГц)?	Передавайте на … кГц (МГц)
QKB	(англ. knobs) Сколько ручек управления у вашей радиостанции?	У моей станции … ручек.
QKN	(англ. know how) А сколькими ручками вы умеете пользоваться?	Я умею пользоваться … ручками.
QLF	(англ. left foot) Вы работаете на ключе левой ногой?	Я работаю на ключе левой ногой.
QLK	Должен ли я быстрее реагировать на ваши запросы?	Реагируйте быстрее на мои запросы
QOD8	Можете ли вы работать на русском языке?	Я могу работать на русском языке
QRA	Как называется ваша станция?	Моя станция называется …
QRB	На каком приблизительно расстоянии Вы находитесь от моей станции?	Приблизительное расстояние между нашими станциями равно … км
QRC	Вы жеватель тряпок? (англ. rag chewer — любитель вести долгие разговоры[1])	Осторожно, в эфире болтун.
QRD	Откуда и куда вы идёте?	Я иду из … в …
QRG	Сообщите мне точную частоту	Ваша точная частота … кГц (МГц)
QRH	Меняется ли моя частота?	Ваша частота меняется
QRI	Каков тон моей передачи?	Тон вашей передачи …
QRJ	Стабилен ли мой сигнал?	Ваш сигнал нестабилен
QRK	Какова разборчивость моих сигналов?	Разборчивость ваших сигналов …
QRL	Заняты ли вы?	Я занят, прошу не мешать
QRM	Испытываете ли вы помехи от других станций?	Я испытываю помехи от других станций
QRN	Мешают ли вам атмосферные помехи?	Мне мешают атмосферные помехи
QRO	Должен ли я увеличить мощность передатчика?	Увеличьте мощность передатчика
QRP	Должен ли я уменьшить мощность передатчика?	Уменьшите мощность передатчика
QRQ	Должен ли я передавать быстрее?	Передавайте быстрее
QRS	Должен ли я передавать медленнее?	Передавайте медленнее
QRT	Должен ли я прекратить передачу?	Прекратите передачу
